,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[173, 26, 4, 2, 2, 0]","[163, 14, 6, 1, 0, 3]","[142, 13, 1, 0, 1, 4]","[29, 3, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 64, 0, 0, 0, 0]"
1,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[16, 0, 0, 0, 0, 0]","[328, 0, 1, 0, 1, 9]","[301, 0, 4, 0, 0, 7]","[704, 2, 7, 0, 0, 31]","[555, 3, 0, 0, 3, 22]","[436, 16, 5, 1, 2, 10]","[372, 40, 7, 1, 3, 12]","[413, 46, 6, 1, 2, 6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]"
2,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[113, 4, 5, 0, 2, 0]","[215, 4, 1, 0, 0, 7]","[383, 4, 5, 1, 0, 17]","[239, 4, 8, 0, 0, 10]","[185, 7, 0, 0, 1, 3]","[253, 4, 1, 0, 1, 3]","[109, 4, 6, 1, 0, 7]","[340, 4, 4, 0, 4, 8]","[276, 8, 8, 0, 1, 18]","[419, 14, 2, 0, 3, 2]","[413, 5, 1, 1, 0, 7]","[1161, 18, 5, 1, 10, 43]","[742, 44, 14, 1, 8, 15]","[484, 60, 3, 1, 2, 0]","[532, 117, 1, 1, 6, 3]","[583, 51, 4, 1, 1, 5]","[0, 0, 0, 0, 0, 0]","[6, 1, 0, 0, 0, 0]","[30, 0, 0, 0, 0, 7]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[36, 1, 0, 0, 0, 7]"
3,"[0, 0, 0, 0, 0, 0]","[24, 0, 0, 0, 0, 5]","[7, 0, 0, 0, 0, 0]","[126, 5, 7, 0, 4, 0]","[284, 2, 0, 1, 9, 21]","[284, 2, 5, 1, 3, 10]","[231, 4, 4, 0, 0, 3]","[718, 11, 17, 1, 4, 8]","[290, 20, 17, 0, 1, 4]","[152, 12, 1, 0, 0, 4]","[268, 22, 3, 1, 2, 12]","[410, 16, 13, 0, 2, 16]","[66, 3, 0, 0, 0, 2]","[647, 45, 9, 0, 2, 11]","[789, 63, 25, 4, 9, 45]","[1075, 110, 18, 2, 7, 23]","[783, 133, 17, 2, 11, 27]","[1922, 301, 55, 9, 19, 69]","[2801, 491, 68, 10, 15, 78]","[2659, 492, 73, 5, 15, 71]","[593, 115, 8, 0, 5, 32]","[321, 2, 0, 0, 5, 8]","[45, 1, 0, 0, 0, 0]","[17, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3635, 611, 81, 5, 26, 111]"
4,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[78, 0, 0, 0, 0, 9]","[122, 1, 0, 0, 1, 2]","[105, 3, 1, 1, 2, 7]","[49, 0, 0, 0, 0, 0]","[55, 2, 0, 0, 0, 4]","[115, 1, 2, 0, 0, 5]","[260, 4, 3, 0, 0, 13]","[141, 4, 0, 0, 5, 3]","[341, 11, 4, 0, 1, 3]","[315, 34, 8, 0, 2, 5]","[886, 67, 12, 0, 6, 22]","[742, 63, 22, 0, 7, 30]","[719, 77, 28, 1, 6, 20]","[627, 72, 22, 1, 7, 15]","[905, 105, 45, 1, 6, 17]","[778, 223, 23, 0, 14, 38]","[2060, 624, 141, 4, 12, 60]","[1647, 357, 262, 12, 48, 63]","[1181, 145, 57, 11, 33, 38]","[854, 82, 26, 5, 16, 26]","[863, 72, 9, 0, 7, 23]","[449, 13, 2, 0, 0, 10]","[99, 8, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[5094, 677, 356, 28, 105, 160]"
5,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[159, 1, 0, 0, 0, 10]","[44, 0, 0, 0, 0, 0]","[331, 0, 6, 0, 4, 3]","[287, 1, 5, 1, 2, 10]","[117, 1, 3, 0, 1, 8]","[57, 1, 1, 0, 0, 0]","[38, 0, 0, 3, 0, 0]","[94, 3, 0, 2, 3, 3]","[543, 8, 18, 2, 8, 20]","[394, 10, 9, 1, 4, 11]","[928, 14, 13, 1, 5, 24]","[766, 32, 15, 3, 6, 30]","[1041, 34, 21, 0, 5, 24]","[550, 35, 5, 0, 7, 18]","[906, 93, 17, 1, 0, 25]","[1132, 176, 36, 0, 6, 36]","[1396, 285, 50, 3, 16, 24]","[910, 165, 45, 1, 16, 37]","[453, 38, 16, 1, 1, 14]","[541, 65, 32, 0, 6, 20]","[364, 46, 13, 3, 6, 14]","[361, 59, 16, 1, 5, 11]","[609, 33, 9, 0, 4, 20]","[411, 22, 5, 0, 3, 5]","[160, 6, 3, 0, 1, 4]","[5, 0, 1, 0, 0, 2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3814, 434, 140, 6, 42, 127]"
6,"[0, 0, 0, 0, 0, 0]","[14, 0, 0, 0, 0, 0]","[161, 1, 2, 0, 1, 7]","[284, 0, 3, 1, 0, 7]","[319, 2, 6, 2, 3, 6]","[115, 0, 3, 0, 1, 8]","[283, 4, 6, 0, 0, 13]","[258, 1, 2, 1, 0, 6]","[197, 3, 0, 0, 4, 8]","[312, 2, 13, 1, 8, 17]","[237, 2, 4, 3, 7, 9]","[1031, 4, 31, 2, 13, 51]","[457, 6, 15, 2, 8, 17]","[374, 11, 5, 1, 2, 12]","[380, 16, 19, 5, 9, 32]","[492, 31, 11, 1, 5, 6]","[767, 44, 17, 2, 2, 10]","[931, 34, 2, 1, 1, 10]","[415, 40, 3, 1, 2, 0]","[112, 11, 0, 0, 0, 0]","[358, 11, 3, 1, 1, 12]","[319, 19, 10, 3, 6, 15]","[458, 47, 20, 3, 8, 11]","[490, 52, 15, 0, 8, 9]","[491, 21, 16, 0, 10, 28]","[529, 78, 28, 1, 6, 19]","[683, 21, 25, 0, 2, 12]","[129, 3, 4, 0, 0, 5]","[41, 0, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3610, 263, 121, 8, 43, 113]"
7,"[0, 0, 0, 0, 0, 0]","[128, 0, 3, 0, 0, 2]","[84, 0, 2, 0, 0, 4]","[209, 0, 4, 0, 0, 10]","[204, 1, 3, 0, 0, 7]","[324, 0, 18, 3, 7, 20]","[274, 4, 10, 2, 7, 11]","[384, 2, 5, 2, 5, 12]","[327, 18, 23, 5, 23, 8]","[491, 6, 20, 7, 12, 9]","[508, 1, 12, 1, 3, 21]","[337, 3, 7, 2, 5, 8]","[264, 0, 2, 2, 2, 9]","[431, 13, 21, 0, 5, 20]","[718, 34, 13, 1, 6, 13]","[844, 21, 5, 0, 0, 29]","[608, 8, 5, 0, 2, 16]","[726, 53, 7, 0, 2, 20]","[423, 45, 4, 0, 3, 23]","[439, 6, 2, 0, 1, 4]","[219, 11, 3, 0, 1, 4]","[405, 11, 12, 1, 5, 13]","[804, 0, 0, 0, 1, 21]","[321, 6, 4, 0, 4, 4]","[201, 9, 3, 1, 2, 0]","[199, 23, 10, 3, 9, 6]","[175, 9, 14, 2, 9, 2]","[184, 1, 9, 1, 5, 5]","[204, 3, 16, 0, 1, 10]","[37, 0, 2, 0, 0, 2]","[0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3188, 79, 75, 8, 38, 74]"
8,"[0, 0, 0, 0, 0, 0]","[29, 0, 0, 0, 0, 0]","[211, 1, 5, 1, 1, 3]","[285, 0, 0, 0, 0, 16]","[492, 0, 9, 1, 0, 4]","[434, 5, 16, 2, 8, 10]","[260, 0, 0, 1, 0, 12]","[389, 0, 9, 2, 9, 5]","[137, 2, 2, 1, 3, 4]","[438, 4, 5, 7, 11, 17]","[97, 0, 2, 2, 0, 3]","[528, 6, 16, 0, 1, 16]","[232, 2, 1, 0, 3, 4]","[726, 15, 17, 2, 8, 14]","[329, 15, 4, 0, 3, 9]","[478, 9, 2, 1, 2, 12]","[349, 16, 1, 0, 0, 10]","[985, 52, 20, 2, 1, 20]","[498, 38, 6, 0, 3, 6]","[598, 22, 3, 0, 0, 4]","[498, 20, 0, 0, 1, 6]","[284, 4, 2, 0, 1, 0]","[418, 11, 17, 2, 15, 8]","[101, 1, 6, 0, 6, 2]","[245, 2, 3, 1, 6, 7]","[459, 12, 6, 2, 8, 24]","[261, 4, 8, 0, 1, 8]","[246, 2, 6, 0, 5, 10]","[219, 9, 3, 0, 3, 6]","[270, 7, 7, 1, 1, 10]","[32, 1, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3631, 95, 61, 6, 49, 87]"
9,"[1, 0, 0, 0, 0, 0]","[320, 6, 7, 1, 5, 2]","[222, 2, 12, 3, 4, 5]","[133, 1, 4, 2, 4, 2]","[113, 2, 4, 0, 3, 6]","[248, 1, 14, 3, 7, 8]","[130, 1, 1, 0, 1, 0]","[101, 2, 2, 2, 0, 0]","[195, 7, 7, 0, 4, 4]","[458, 2, 12, 6, 9, 16]","[253, 3, 4, 1, 0, 7]","[649, 7, 15, 4, 4, 12]","[370, 6, 6, 1, 1, 5]","[916, 13, 11, 2, 4, 12]","[230, 14, 6, 2, 6, 2]","[379, 4, 6, 0, 0, 7]","[472, 27, 9, 0, 0, 2]","[895, 27, 4, 0, 1, 12]","[221, 3, 4, 0, 0, 5]","[243, 7, 1, 0, 0, 0]","[15, 0, 0, 0, 0, 0]","[75, 1, 0, 0, 0, 6]","[824, 9, 1, 0, 2, 12]","[437, 3, 3, 0, 1, 4]","[411, 3, 5, 0, 3, 12]","[755, 0, 11, 1, 3, 0]","[810, 7, 6, 1, 6, 8]","[515, 5, 19, 0, 2, 26]","[237, 5, 24, 1, 5, 9]","[121, 1, 4, 0, 0, 3]","[272, 1, 8, 1, 4, 6]","[29, 0, 2, 0, 0, 11]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[4744, 42, 84, 4, 26, 97]"
